CUSID: 3137EAED7; bid price: 98.988281; offer price: 99.011719
CUSID: 3137EADB2; bid price: 100.003906; offer price: 100.027344
CUSID: 3134A3U46; bid price: 100.011719; offer price: 100.035156
CUSID: 3134A4KX1; bid price: 98.988281; offer price: 99.019531
CUSID: 3137EAED7; bid price: 100.007812; offer price: 100.039062
CUSID: 3137EAEB1; bid price: 99.996094; offer price: 100.019531
CUSID: 3137EAEC9; bid price: 100.007812; offer price: 100.023438
CUSID: 3137EADB2; bid price: 99.984375; offer price: 100.015625
CUSID: 3134A3U46; bid price: 99.007812; offer price: 99.023438
CUSID: 3134A4KX1; bid price: 100.000000; offer price: 100.031250
CUSID: 3137EAED7; bid price: 99.000000; offer price: 99.015625
CUSID: 3137EAEB1; bid price: 99.984375; offer price: 100.015625
CUSID: 3137EAEC9; bid price: 99.003906; offer price: 99.019531
CUSID: 3137EADB2; bid price: 98.996094; offer price: 99.011719
CUSID: 3134A3U46; bid price: 99.007812; offer price: 99.039062
CUSID: 3134A4KX1; bid price: 99.011719; offer price: 99.027344
CUSID: 3137EAED7; bid price: 99.000000; offer price: 99.031250
CUSID: 3137EAEB1; bid price: 99.992188; offer price: 100.007812
CUSID: 3137EAEC9; bid price: 98.984375; offer price: 99.015625
CUSID: 3137EADB2; bid price: 100.007812; offer price: 100.023438
CUSID: 3134A3U46; bid price: 99.992188; offer price: 100.007812
CUSID: 3134A4KX1; bid price: 99.007812; offer price: 99.031250
CUSID: 3137EAED7; bid price: 100.015625; offer price: 100.031250
CUSID: 3137EAEB1; bid price: 99.007812; offer price: 99.039062
CUSID: 3137EAEC9; bid price: 100.003906; offer price: 100.035156
CUSID: 3137EADB2; bid price: 100.000000; offer price: 100.031250
CUSID: 3134A3U46; bid price: 100.011719; offer price: 100.042969
CUSID: 3134A4KX1; bid price: 99.019531; offer price: 99.035156
CUSID: 3137EAED7; bid price: 99.992188; offer price: 100.023438
CUSID: 3137EAEB1; bid price: 100.003906; offer price: 100.019531
CUSID: 3137EAEC9; bid price: 99.019531; offer price: 99.035156
CUSID: 3137EADB2; bid price: 98.992188; offer price: 99.023438
CUSID: 3134A3U46; bid price: 99.011719; offer price: 99.027344
CUSID: 3134A4KX1; bid price: 98.984375; offer price: 99.015625
CUSID: 3137EAED7; bid price: 99.015625; offer price: 99.039062
CUSID: 3137EAEB1; bid price: 98.988281; offer price: 99.019531
CUSID: 3137EAEC9; bid price: 98.988281; offer price: 99.011719
CUSID: 3137EADB2; bid price: 99.000000; offer price: 99.023438
CUSID: 3134A3U46; bid price: 99.007812; offer price: 99.031250
CUSID: 3134A4KX1; bid price: 98.988281; offer price: 99.019531
CUSID: 3137EAED7; bid price: 99.992188; offer price: 100.023438
CUSID: 3137EAEB1; bid price: 100.000000; offer price: 100.031250
CUSID: 3137EAEC9; bid price: 100.011719; offer price: 100.035156
CUSID: 3137EADB2; bid price: 99.007812; offer price: 99.023438
CUSID: 3134A3U46; bid price: 98.984375; offer price: 99.015625
CUSID: 3134A4KX1; bid price: 99.003906; offer price: 99.027344
CUSID: 3137EAED7; bid price: 100.015625; offer price: 100.031250
CUSID: 3137EAEB1; bid price: 99.011719; offer price: 99.042969
CUSID: 3137EAEC9; bid price: 100.015625; offer price: 100.039062
CUSID: 3137EADB2; bid price: 99.007812; offer price: 99.023438
CUSID: 3134A3U46; bid price: 98.996094; offer price: 99.011719
CUSID: 3134A4KX1; bid price: 99.003906; offer price: 99.027344
CUSID: 3137EAED7; bid price: 99.000000; offer price: 99.015625
CUSID: 3137EAEB1; bid price: 100.015625; offer price: 100.039062
CUSID: 3137EAEC9; bid price: 98.996094; offer price: 99.027344
CUSID: 3137EADB2; bid price: 100.011719; offer price: 100.035156
CUSID: 3134A3U46; bid price: 99.000000; offer price: 99.023438
CUSID: 3134A4KX1; bid price: 100.011719; offer price: 100.042969
CUSID: 3137EAED7; bid price: 100.007812; offer price: 100.039062
CUSID: 3137EAEB1; bid price: 99.996094; offer price: 100.019531
CUSID: 3137EAEC9; bid price: 99.984375; offer price: 100.015625
CUSID: 3137EADB2; bid price: 100.007812; offer price: 100.031250
CUSID: 3134A3U46; bid price: 100.003906; offer price: 100.019531
CUSID: 3134A4KX1; bid price: 98.988281; offer price: 99.011719
CUSID: 3137EAED7; bid price: 100.003906; offer price: 100.035156
CUSID: 3137EAEB1; bid price: 99.996094; offer price: 100.019531
CUSID: 3137EAEC9; bid price: 100.011719; offer price: 100.027344
CUSID: 3137EADB2; bid price: 98.996094; offer price: 99.011719
CUSID: 3134A3U46; bid price: 100.000000; offer price: 100.023438
CUSID: 3134A4KX1; bid price: 100.011719; offer price: 100.027344
CUSID: 3137EAED7; bid price: 99.000000; offer price: 99.031250
CUSID: 3137EAEB1; bid price: 98.992188; offer price: 99.015625
CUSID: 3137EAEC9; bid price: 99.003906; offer price: 99.019531
CUSID: 3137EADB2; bid price: 98.988281; offer price: 99.011719
CUSID: 3134A3U46; bid price: 100.003906; offer price: 100.027344
CUSID: 3134A4KX1; bid price: 100.011719; offer price: 100.042969
CUSID: 3137EAED7; bid price: 99.007812; offer price: 99.023438
CUSID: 3137EAEB1; bid price: 99.007812; offer price: 99.039062
CUSID: 3137EAEC9; bid price: 99.011719; offer price: 99.042969
CUSID: 3137EADB2; bid price: 99.996094; offer price: 100.019531
CUSID: 3134A3U46; bid price: 98.996094; offer price: 99.019531
CUSID: 3134A4KX1; bid price: 99.003906; offer price: 99.019531
CUSID: 3137EAED7; bid price: 100.011719; offer price: 100.035156
CUSID: 3137EAEB1; bid price: 99.011719; offer price: 99.027344
CUSID: 3137EAEC9; bid price: 99.984375; offer price: 100.015625
CUSID: 3137EADB2; bid price: 99.007812; offer price: 99.039062
CUSID: 3134A3U46; bid price: 99.003906; offer price: 99.027344
CUSID: 3134A4KX1; bid price: 99.984375; offer price: 100.015625
CUSID: 3137EAED7; bid price: 99.003906; offer price: 99.019531
CUSID: 3137EAEB1; bid price: 99.007812; offer price: 99.023438
CUSID: 3137EAEC9; bid price: 100.019531; offer price: 100.035156
CUSID: 3137EADB2; bid price: 100.003906; offer price: 100.027344
CUSID: 3134A3U46; bid price: 99.996094; offer price: 100.011719
CUSID: 3134A4KX1; bid price: 98.996094; offer price: 99.011719
CUSID: 3137EAED7; bid price: 99.996094; offer price: 100.027344
CUSID: 3137EAEB1; bid price: 99.000000; offer price: 99.015625
CUSID: 3137EAEC9; bid price: 98.992188; offer price: 99.015625
CUSID: 3137EADB2; bid price: 99.003906; offer price: 99.019531
CUSID: 3134A3U46; bid price: 98.992188; offer price: 99.015625
CUSID: 3134A4KX1; bid price: 99.007812; offer price: 99.031250
CUSID: 3137EAED7; bid price: 100.019531; offer price: 100.035156
CUSID: 3137EAEB1; bid price: 98.988281; offer price: 99.019531
CUSID: 3137EAEC9; bid price: 99.992188; offer price: 100.023438
CUSID: 3137EADB2; bid price: 99.007812; offer price: 99.023438
CUSID: 3134A3U46; bid price: 99.996094; offer price: 100.019531
CUSID: 3134A4KX1; bid price: 98.992188; offer price: 99.023438
CUSID: 3137EAED7; bid price: 99.996094; offer price: 100.027344
CUSID: 3137EAEB1; bid price: 100.003906; offer price: 100.027344
CUSID: 3137EAEC9; bid price: 99.000000; offer price: 99.023438
CUSID: 3137EADB2; bid price: 100.000000; offer price: 100.023438
CUSID: 3134A3U46; bid price: 99.003906; offer price: 99.019531
CUSID: 3134A4KX1; bid price: 99.019531; offer price: 99.035156
CUSID: 3137EAED7; bid price: 100.000000; offer price: 100.031250
CUSID: 3137EAEB1; bid price: 98.988281; offer price: 99.019531
CUSID: 3137EAEC9; bid price: 99.000000; offer price: 99.015625
CUSID: 3137EADB2; bid price: 99.996094; offer price: 100.027344
CUSID: 3134A3U46; bid price: 98.996094; offer price: 99.011719
CUSID: 3134A4KX1; bid price: 98.992188; offer price: 99.015625
CUSID: 3137EAED7; bid price: 99.011719; offer price: 99.042969
CUSID: 3137EAEB1; bid price: 99.000000; offer price: 99.023438
CUSID: 3137EAEC9; bid price: 98.992188; offer price: 99.023438
CUSID: 3137EADB2; bid price: 99.992188; offer price: 100.007812
CUSID: 3134A3U46; bid price: 100.000000; offer price: 100.023438
CUSID: 3134A4KX1; bid price: 99.996094; offer price: 100.027344
CUSID: 3137EAED7; bid price: 99.988281; offer price: 100.011719
CUSID: 3137EAEB1; bid price: 100.007812; offer price: 100.031250
CUSID: 3137EAEC9; bid price: 100.007812; offer price: 100.039062
CUSID: 3137EADB2; bid price: 99.996094; offer price: 100.027344
CUSID: 3134A3U46; bid price: 100.003906; offer price: 100.027344
CUSID: 3134A4KX1; bid price: 98.992188; offer price: 99.023438
CUSID: 3137EAED7; bid price: 99.007812; offer price: 99.031250
CUSID: 3137EAEB1; bid price: 100.007812; offer price: 100.031250
CUSID: 3137EAEC9; bid price: 99.019531; offer price: 99.035156
CUSID: 3137EADB2; bid price: 100.003906; offer price: 100.019531
CUSID: 3134A3U46; bid price: 99.984375; offer price: 100.015625
CUSID: 3134A4KX1; bid price: 99.007812; offer price: 99.039062
CUSID: 3137EAED7; bid price: 98.996094; offer price: 99.027344
CUSID: 3137EAEB1; bid price: 99.996094; offer price: 100.027344
CUSID: 3137EAEC9; bid price: 100.003906; offer price: 100.035156
CUSID: 3137EADB2; bid price: 100.015625; offer price: 100.031250
CUSID: 3134A3U46; bid price: 98.988281; offer price: 99.019531
CUSID: 3134A4KX1; bid price: 99.015625; offer price: 99.039062
CUSID: 3137EAED7; bid price: 98.996094; offer price: 99.019531
CUSID: 3137EAEB1; bid price: 99.996094; offer price: 100.011719
CUSID: 3137EAEC9; bid price: 98.988281; offer price: 99.019531
CUSID: 3137EADB2; bid price: 100.003906; offer price: 100.027344
CUSID: 3134A3U46; bid price: 98.996094; offer price: 99.027344
CUSID: 3134A4KX1; bid price: 99.003906; offer price: 99.027344
CUSID: 3137EAED7; bid price: 100.007812; offer price: 100.039062
CUSID: 3137EAEB1; bid price: 98.996094; offer price: 99.027344
CUSID: 3137EAEC9; bid price: 99.000000; offer price: 99.023438
CUSID: 3137EADB2; bid price: 100.015625; offer price: 100.039062
CUSID: 3134A3U46; bid price: 100.019531; offer price: 100.035156
CUSID: 3134A4KX1; bid price: 99.000000; offer price: 99.015625
CUSID: 3137EAED7; bid price: 98.996094; offer price: 99.019531
CUSID: 3137EAEB1; bid price: 99.996094; offer price: 100.027344
CUSID: 3137EAEC9; bid price: 99.996094; offer price: 100.011719
CUSID: 3137EADB2; bid price: 100.000000; offer price: 100.023438
CUSID: 3134A3U46; bid price: 99.000000; offer price: 99.031250
CUSID: 3134A4KX1; bid price: 99.015625; offer price: 99.039062
CUSID: 3137EAED7; bid price: 99.996094; offer price: 100.027344
CUSID: 3137EAEB1; bid price: 98.984375; offer price: 99.015625
CUSID: 3137EAEC9; bid price: 99.011719; offer price: 99.027344
CUSID: 3137EADB2; bid price: 100.007812; offer price: 100.023438
CUSID: 3134A3U46; bid price: 99.007812; offer price: 99.039062
CUSID: 3134A4KX1; bid price: 99.000000; offer price: 99.031250
CUSID: 3137EAED7; bid price: 99.011719; offer price: 99.042969
CUSID: 3137EAEB1; bid price: 99.000000; offer price: 99.023438
CUSID: 3137EAEC9; bid price: 99.011719; offer price: 99.035156
CUSID: 3137EADB2; bid price: 99.996094; offer price: 100.019531
CUSID: 3134A3U46; bid price: 99.984375; offer price: 100.015625
CUSID: 3134A4KX1; bid price: 99.992188; offer price: 100.007812
CUSID: 3137EAED7; bid price: 100.007812; offer price: 100.031250
CUSID: 3137EAEB1; bid price: 99.011719; offer price: 99.042969
CUSID: 3137EAEC9; bid price: 99.007812; offer price: 99.031250
CUSID: 3137EADB2; bid price: 99.007812; offer price: 99.031250
CUSID: 3134A3U46; bid price: 99.988281; offer price: 100.019531
CUSID: 3134A4KX1; bid price: 99.992188; offer price: 100.007812
CUSID: 3137EAED7; bid price: 98.996094; offer price: 99.019531
CUSID: 3137EAEB1; bid price: 99.003906; offer price: 99.019531
CUSID: 3137EAEC9; bid price: 99.992188; offer price: 100.023438
CUSID: 3137EADB2; bid price: 100.019531; offer price: 100.035156
CUSID: 3134A3U46; bid price: 99.003906; offer price: 99.035156
CUSID: 3134A4KX1; bid price: 99.992188; offer price: 100.007812
CUSID: 3137EAED7; bid price: 99.011719; offer price: 99.042969
CUSID: 3137EAEB1; bid price: 99.996094; offer price: 100.027344
CUSID: 3137EAEC9; bid price: 98.996094; offer price: 99.019531
CUSID: 3137EADB2; bid price: 99.003906; offer price: 99.027344
CUSID: 3134A3U46; bid price: 98.992188; offer price: 99.007812
CUSID: 3134A4KX1; bid price: 98.992188; offer price: 99.023438
CUSID: 3137EAED7; bid price: 100.003906; offer price: 100.019531
CUSID: 3137EAEB1; bid price: 99.011719; offer price: 99.042969
CUSID: 3137EAEC9; bid price: 99.988281; offer price: 100.019531
CUSID: 3137EADB2; bid price: 99.003906; offer price: 99.035156
CUSID: 3134A3U46; bid price: 99.007812; offer price: 99.023438
CUSID: 3134A4KX1; bid price: 99.992188; offer price: 100.015625
CUSID: 3137EAED7; bid price: 98.988281; offer price: 99.019531
CUSID: 3137EAEB1; bid price: 100.003906; offer price: 100.019531
CUSID: 3137EAEC9; bid price: 99.011719; offer price: 99.042969
CUSID: 3137EADB2; bid price: 98.992188; offer price: 99.007812
CUSID: 3134A3U46; bid price: 99.996094; offer price: 100.019531
CUSID: 3134A4KX1; bid price: 100.000000; offer price: 100.023438
CUSID: 3137EAED7; bid price: 100.011719; offer price: 100.027344
CUSID: 3137EAEB1; bid price: 99.003906; offer price: 99.019531
CUSID: 3137EAEC9; bid price: 98.984375; offer price: 99.015625
CUSID: 3137EADB2; bid price: 100.019531; offer price: 100.035156
CUSID: 3134A3U46; bid price: 98.988281; offer price: 99.011719
CUSID: 3134A4KX1; bid price: 99.988281; offer price: 100.011719
CUSID: 3137EAED7; bid price: 99.988281; offer price: 100.011719
CUSID: 3137EAEB1; bid price: 100.015625; offer price: 100.031250
CUSID: 3137EAEC9; bid price: 99.996094; offer price: 100.011719
CUSID: 3137EADB2; bid price: 99.984375; offer price: 100.015625
CUSID: 3134A3U46; bid price: 98.992188; offer price: 99.015625
CUSID: 3134A4KX1; bid price: 100.007812; offer price: 100.023438
CUSID: 3137EAED7; bid price: 99.000000; offer price: 99.031250
CUSID: 3137EAEB1; bid price: 98.996094; offer price: 99.011719
CUSID: 3137EAEC9; bid price: 99.011719; offer price: 99.027344
CUSID: 3137EADB2; bid price: 100.003906; offer price: 100.019531
CUSID: 3134A3U46; bid price: 99.992188; offer price: 100.007812
CUSID: 3134A4KX1; bid price: 98.996094; offer price: 99.027344
CUSID: 3137EAED7; bid price: 100.011719; offer price: 100.035156
CUSID: 3137EAEB1; bid price: 99.011719; offer price: 99.027344
CUSID: 3137EAEC9; bid price: 100.011719; offer price: 100.035156
CUSID: 3137EADB2; bid price: 98.992188; offer price: 99.007812
CUSID: 3134A3U46; bid price: 100.003906; offer price: 100.035156
CUSID: 3134A4KX1; bid price: 98.984375; offer price: 99.015625
CUSID: 3137EAED7; bid price: 99.992188; offer price: 100.007812
CUSID: 3137EAEB1; bid price: 99.011719; offer price: 99.035156
CUSID: 3137EAEC9; bid price: 100.003906; offer price: 100.019531
CUSID: 3137EADB2; bid price: 99.984375; offer price: 100.015625
CUSID: 3134A3U46; bid price: 100.007812; offer price: 100.023438
CUSID: 3134A4KX1; bid price: 98.992188; offer price: 99.007812
CUSID: 3137EAED7; bid price: 99.011719; offer price: 99.027344
CUSID: 3137EAEB1; bid price: 99.015625; offer price: 99.031250
CUSID: 3137EAEC9; bid price: 98.988281; offer price: 99.019531
CUSID: 3137EADB2; bid price: 99.992188; offer price: 100.015625
CUSID: 3134A3U46; bid price: 99.007812; offer price: 99.031250
CUSID: 3134A4KX1; bid price: 100.015625; offer price: 100.031250
CUSID: 3137EAED7; bid price: 99.003906; offer price: 99.019531
CUSID: 3137EAEB1; bid price: 100.007812; offer price: 100.031250
CUSID: 3137EAEC9; bid price: 100.015625; offer price: 100.039062
CUSID: 3137EADB2; bid price: 99.996094; offer price: 100.027344
CUSID: 3134A3U46; bid price: 99.019531; offer price: 99.035156
CUSID: 3134A4KX1; bid price: 98.996094; offer price: 99.027344
CUSID: 3137EAED7; bid price: 98.996094; offer price: 99.011719
CUSID: 3137EAEB1; bid price: 100.007812; offer price: 100.039062
CUSID: 3137EAEC9; bid price: 99.007812; offer price: 99.031250
CUSID: 3137EADB2; bid price: 99.992188; offer price: 100.023438
CUSID: 3134A3U46; bid price: 98.996094; offer price: 99.019531
CUSID: 3134A4KX1; bid price: 100.000000; offer price: 100.031250
CUSID: 3137EAED7; bid price: 99.984375; offer price: 100.015625
CUSID: 3137EAEB1; bid price: 99.996094; offer price: 100.019531
CUSID: 3137EAEC9; bid price: 100.011719; offer price: 100.035156
CUSID: 3137EADB2; bid price: 99.011719; offer price: 99.027344
CUSID: 3134A3U46; bid price: 99.996094; offer price: 100.027344
CUSID: 3134A4KX1; bid price: 99.011719; offer price: 99.027344
CUSID: 3137EAED7; bid price: 100.015625; offer price: 100.031250
CUSID: 3137EAEB1; bid price: 99.015625; offer price: 99.031250
CUSID: 3137EAEC9; bid price: 99.015625; offer price: 99.031250
CUSID: 3137EADB2; bid price: 99.000000; offer price: 99.031250
CUSID: 3134A3U46; bid price: 100.011719; offer price: 100.035156
CUSID: 3134A4KX1; bid price: 99.007812; offer price: 99.023438
CUSID: 3137EAED7; bid price: 99.007812; offer price: 99.023438
CUSID: 3137EAEB1; bid price: 99.988281; offer price: 100.011719
CUSID: 3137EAEC9; bid price: 99.011719; offer price: 99.035156
CUSID: 3137EADB2; bid price: 99.015625; offer price: 99.039062
CUSID: 3134A3U46; bid price: 100.000000; offer price: 100.023438
CUSID: 3134A4KX1; bid price: 98.996094; offer price: 99.027344
CUSID: 3137EAED7; bid price: 100.000000; offer price: 100.031250
CUSID: 3137EAEB1; bid price: 99.996094; offer price: 100.019531
CUSID: 3137EAEC9; bid price: 99.988281; offer price: 100.019531
CUSID: 3137EADB2; bid price: 100.007812; offer price: 100.023438
CUSID: 3134A3U46; bid price: 98.996094; offer price: 99.027344
CUSID: 3134A4KX1; bid price: 100.011719; offer price: 100.042969
CUSID: 3137EAED7; bid price: 99.992188; offer price: 100.015625
CUSID: 3137EAEB1; bid price: 99.003906; offer price: 99.035156
CUSID: 3137EAEC9; bid price: 99.988281; offer price: 100.011719
CUSID: 3137EADB2; bid price: 100.007812; offer price: 100.023438
CUSID: 3134A3U46; bid price: 99.015625; offer price: 99.039062
CUSID: 3134A4KX1; bid price: 98.988281; offer price: 99.011719
CUSID: 3137EAED7; bid price: 100.000000; offer price: 100.023438
CUSID: 3137EAEB1; bid price: 100.015625; offer price: 100.039062
CUSID: 3137EAEC9; bid price: 99.011719; offer price: 99.042969
CUSID: 3137EADB2; bid price: 99.007812; offer price: 99.039062
CUSID: 3134A3U46; bid price: 98.992188; offer price: 99.023438
CUSID: 3134A4KX1; bid price: 99.000000; offer price: 99.023438
CUSID: 3137EAED7; bid price: 98.988281; offer price: 99.019531
CUSID: 3137EAEB1; bid price: 99.003906; offer price: 99.027344
CUSID: 3137EAEC9; bid price: 99.015625; offer price: 99.039062
CUSID: 3137EADB2; bid price: 99.988281; offer price: 100.011719
CUSID: 3134A3U46; bid price: 99.992188; offer price: 100.023438
CUSID: 3134A4KX1; bid price: 100.019531; offer price: 100.035156
CUSID: 3137EAED7; bid price: 100.011719; offer price: 100.027344
CUSID: 3137EAEB1; bid price: 99.011719; offer price: 99.035156
CUSID: 3137EAEC9; bid price: 98.984375; offer price: 99.015625
CUSID: 3137EADB2; bid price: 99.003906; offer price: 99.027344
CUSID: 3134A3U46; bid price: 100.000000; offer price: 100.023438
CUSID: 3134A4KX1; bid price: 99.011719; offer price: 99.027344
CUSID: 3137EAED7; bid price: 99.007812; offer price: 99.023438
CUSID: 3137EAEB1; bid price: 99.007812; offer price: 99.023438
CUSID: 3137EAEC9; bid price: 100.011719; offer price: 100.035156
CUSID: 3137EADB2; bid price: 99.011719; offer price: 99.035156
CUSID: 3134A3U46; bid price: 99.000000; offer price: 99.031250
CUSID: 3134A4KX1; bid price: 100.003906; offer price: 100.035156
CUSID: 3137EAED7; bid price: 99.007812; offer price: 99.023438
CUSID: 3137EAEB1; bid price: 99.000000; offer price: 99.023438
CUSID: 3137EAEC9; bid price: 100.003906; offer price: 100.035156
CUSID: 3137EADB2; bid price: 99.003906; offer price: 99.035156
CUSID: 3134A3U46; bid price: 100.007812; offer price: 100.039062
CUSID: 3134A4KX1; bid price: 98.992188; offer price: 99.007812
CUSID: 3137EAED7; bid price: 99.003906; offer price: 99.027344
CUSID: 3137EAEB1; bid price: 99.003906; offer price: 99.019531
CUSID: 3137EAEC9; bid price: 100.000000; offer price: 100.031250
CUSID: 3137EADB2; bid price: 99.996094; offer price: 100.019531
CUSID: 3134A3U46; bid price: 100.000000; offer price: 100.023438
CUSID: 3134A4KX1; bid price: 99.015625; offer price: 99.031250
CUSID: 3137EAED7; bid price: 98.992188; offer price: 99.007812
CUSID: 3137EAEB1; bid price: 99.000000; offer price: 99.031250
CUSID: 3137EAEC9; bid price: 100.007812; offer price: 100.023438
CUSID: 3137EADB2; bid price: 99.007812; offer price: 99.031250
CUSID: 3134A3U46; bid price: 100.015625; offer price: 100.039062
CUSID: 3134A4KX1; bid price: 99.992188; offer price: 100.023438
CUSID: 3137EAED7; bid price: 99.011719; offer price: 99.027344
CUSID: 3137EAEB1; bid price: 99.007812; offer price: 99.023438
CUSID: 3137EAEC9; bid price: 99.007812; offer price: 99.023438
CUSID: 3137EADB2; bid price: 100.011719; offer price: 100.035156
CUSID: 3134A3U46; bid price: 100.019531; offer price: 100.035156
CUSID: 3134A4KX1; bid price: 99.988281; offer price: 100.019531
CUSID: 3137EAED7; bid price: 99.992188; offer price: 100.015625
CUSID: 3137EAEB1; bid price: 98.984375; offer price: 99.015625
CUSID: 3137EAEC9; bid price: 99.996094; offer price: 100.011719
CUSID: 3137EADB2; bid price: 99.015625; offer price: 99.031250
CUSID: 3134A3U46; bid price: 99.011719; offer price: 99.042969
CUSID: 3134A4KX1; bid price: 99.992188; offer price: 100.015625
CUSID: 3137EAED7; bid price: 100.015625; offer price: 100.031250
CUSID: 3137EAEB1; bid price: 100.000000; offer price: 100.031250
