CUSIP,bidprice1,quantity,bidprice2,quantity,bidprice3,quantity,bidprice4,quantity,bidprice5,quantity,offerprice1,quantity,offerprice2,quantity,offerprice3,quantity,offerprice4,quantity,offerprice5,quantity,
3137EADB2,99-100,1000000,99-097,2000000,99-096,3000000,99-095,4000000,99-09+,5000000,99-102,1000000,99-103,2000000,99-10+,3000000,99-105,4000000,99-106,5000000,
3134A3U46,99-155,1000000,99-15+,2000000,99-153,3000000,99-152,4000000,99-151,5000000,99-157,1000000,99-160,2000000,99-161,3000000,99-162,4000000,99-163,5000000,
3134A4KX1,100-312,1000000,100-311,2000000,100-310,3000000,100-307,4000000,100-306,5000000,100-31+,1000000,100-315,2000000,100-316,3000000,100-317,4000000,101-000,5000000,
3137EAED7,100-231,1000000,100-230,2000000,100-227,3000000,100-226,4000000,100-225,5000000,100-233,1000000,100-23+,2000000,100-235,3000000,100-236,4000000,100-237,5000000,
3137EAEB1,99-310,1000000,99-307,2000000,99-306,3000000,99-305,4000000,99-30+,5000000,99-312,1000000,99-313,2000000,99-31+,3000000,99-315,4000000,99-316,5000000,
3137EAEC9,100-070,1000000,100-067,2000000,100-066,3000000,100-065,4000000,100-06+,5000000,100-072,1000000,100-073,2000000,100-07+,3000000,100-075,4000000,100-076,5000000,
3137EADB2,100-273,1000000,100-272,2000000,100-271,3000000,100-270,4000000,100-267,5000000,100-275,1000000,100-276,2000000,100-277,3000000,100-280,4000000,100-281,5000000,
3134A3U46,100-287,1000000,100-286,2000000,100-285,3000000,100-28+,4000000,100-283,5000000,100-291,1000000,100-292,2000000,100-293,3000000,100-29+,4000000,100-295,5000000,
3134A4KX1,100-081,1000000,100-080,2000000,100-077,3000000,100-076,4000000,100-075,5000000,100-083,1000000,100-08+,2000000,100-085,3000000,100-086,4000000,100-087,5000000,
3137EAED7,99-165,1000000,99-16+,2000000,99-163,3000000,99-162,4000000,99-161,5000000,99-167,1000000,99-170,2000000,99-171,3000000,99-172,4000000,99-173,5000000,
3137EAEB1,99-152,1000000,99-151,2000000,99-150,3000000,99-147,4000000,99-146,5000000,99-15+,1000000,99-155,2000000,99-156,3000000,99-157,4000000,99-160,5000000,
3137EAEC9,100-013,1000000,100-012,2000000,100-011,3000000,100-010,4000000,100-007,5000000,100-015,1000000,100-016,2000000,100-017,3000000,100-020,4000000,100-021,5000000,
3137EADB2,99-266,1000000,99-265,2000000,99-26+,3000000,99-263,4000000,99-262,5000000,99-270,1000000,99-271,2000000,99-272,3000000,99-273,4000000,99-27+,5000000,
3134A3U46,99-132,1000000,99-131,2000000,99-130,3000000,99-127,4000000,99-126,5000000,99-13+,1000000,99-135,2000000,99-136,3000000,99-137,4000000,99-140,5000000,
3134A4KX1,99-161,1000000,99-160,2000000,99-157,3000000,99-156,4000000,99-155,5000000,99-163,1000000,99-16+,2000000,99-165,3000000,99-166,4000000,99-167,5000000,
