CUSIP,mid,bidofferspread
3134A4KX1,99-12+,0-003
3137EAED7,100-286,0-002
3137EAEB1,99-127,0-00+
3137EAEC9,100-297,0-003
3137EADB2,99-14+,0-002
3134A3U46,99-011,0-002
3134A4KX1,99-24+,0-003
3137EAED7,99-202,0-002
3137EAEB1,100-297,0-003
3137EAEC9,99-013,0-00+
3137EADB2,100-296,0-003
3134A3U46,99-283,0-003
3134A4KX1,100-087,0-00+
3137EAED7,100-056,0-00+
3137EAEB1,100-062,0-003
3137EAEC9,100-270,0-00+
3137EADB2,100-165,0-003
3134A3U46,100-143,0-002
3134A4KX1,99-080,0-003
3137EAED7,100-085,0-00+
3137EAEB1,100-252,0-003
3137EAEC9,100-005,0-002
3137EADB2,99-291,0-002
3134A3U46,100-153,0-003
3134A4KX1,100-035,0-002
3137EAED7,99-24+,0-00+
3137EAEB1,99-191,0-003
3137EAEC9,99-123,0-002
3137EADB2,99-030,0-003
3134A3U46,100-28+,0-003
3134A4KX1,100-197,0-00+
3137EAED7,99-17+,0-002
3137EAEB1,99-176,0-00+
3137EAEC9,99-247,0-00+
3137EADB2,100-282,0-003
3134A3U46,99-272,0-003
3134A4KX1,99-273,0-002
3137EAED7,100-256,0-003
3137EAEB1,99-105,0-002
3137EAEC9,100-200,0-00+
3137EADB2,99-206,0-00+
3134A3U46,99-03+,0-003
3134A4KX1,100-230,0-00+
3137EAED7,99-233,0-002
3137EAEB1,99-04+,0-002
3137EAEC9,100-097,0-002
3137EADB2,100-28+,0-003
3134A3U46,100-061,0-002
3134A4KX1,99-081,0-002
3137EAED7,100-003,0-00+
3137EAEB1,99-082,0-002
3137EAEC9,99-251,0-003
3137EADB2,99-233,0-002
3134A3U46,99-211,0-003
3134A4KX1,99-015,0-003
3137EAED7,100-307,0-002
3137EAEB1,99-071,0-00+
3137EAEC9,100-012,0-00+
3137EADB2,99-06+,0-002
3134A3U46,100-302,0-003
3134A4KX1,99-202,0-00+
3137EAED7,100-223,0-00+
3137EAEB1,100-02+,0-003
3137EAEC9,99-063,0-003
3137EADB2,100-103,0-003
3134A3U46,99-163,0-002
3134A4KX1,99-097,0-002
3137EAED7,100-29+,0-00+
3137EAEB1,99-301,0-00+
3137EAEC9,99-312,0-002
3137EADB2,100-293,0-00+
3134A3U46,99-251,0-002
3134A4KX1,99-091,0-003
3137EAED7,99-227,0-00+
3137EAEB1,99-263,0-003
3137EAEC9,99-182,0-00+
3137EADB2,100-190,0-002
3134A3U46,100-013,0-003
3134A4KX1,100-103,0-00+
3137EAED7,100-070,0-003
3137EAEB1,100-185,0-003
3137EAEC9,100-246,0-00+
3137EADB2,100-023,0-00+
3134A3U46,100-28+,0-003
3134A4KX1,99-092,0-00+
3137EAED7,99-215,0-003
3137EAEB1,100-275,0-003
3137EAEC9,99-207,0-002
3137EADB2,100-173,0-002
3134A3U46,100-210,0-00+
3134A4KX1,99-046,0-00+
3137EAED7,99-203,0-00+
3137EAEB1,100-283,0-00+
3137EAEC9,100-235,0-00+
3137EADB2,100-266,0-002
3134A3U46,99-051,0-00+
3134A4KX1,99-297,0-003
3137EAED7,99-312,0-003
3137EAEB1,100-031,0-002
3137EAEC9,99-171,0-00+
3137EADB2,100-11+,0-003
3134A3U46,99-253,0-00+
3134A4KX1,99-04+,0-003
3137EAED7,100-176,0-00+
3137EAEB1,99-273,0-00+
3137EAEC9,99-043,0-003
3137EADB2,100-087,0-003
3134A3U46,100-077,0-002
3134A4KX1,99-272,0-002
3137EAED7,99-082,0-003
3137EAEB1,100-303,0-00+
3137EAEC9,100-001,0-002
3137EADB2,100-103,0-003
3134A3U46,99-17+,0-00+
3134A4KX1,99-297,0-003
3137EAED7,100-013,0-00+
3137EAEB1,99-190,0-00+
3137EAEC9,99-295,0-002
3137EADB2,100-09+,0-002
3134A3U46,99-026,0-00+
3134A4KX1,99-03+,0-00+
3137EAED7,99-247,0-00+
3137EAEB1,99-123,0-003
3137EAEC9,99-026,0-003
3137EADB2,100-082,0-003
3134A3U46,100-290,0-00+
3134A4KX1,100-020,0-002
3137EAED7,100-145,0-003
3137EAEB1,99-247,0-00+
3137EAEC9,99-145,0-003
3137EADB2,99-085,0-003
3134A3U46,100-261,0-00+
3134A4KX1,100-170,0-002
3137EAED7,99-052,0-003
3137EAEB1,99-173,0-002
3137EAEC9,100-242,0-00+
3137EADB2,100-217,0-002
3134A3U46,99-195,0-00+
3134A4KX1,100-130,0-002
3137EAED7,99-317,0-00+
3137EAEB1,100-023,0-00+
3137EAEC9,99-242,0-003
3137EADB2,99-03+,0-003
3134A3U46,99-310,0-002
3134A4KX1,99-072,0-00+
3137EAED7,100-133,0-002
3137EAEB1,99-097,0-00+
3137EAEC9,100-011,0-00+
3137EADB2,99-045,0-00+
3134A3U46,99-06+,0-002
3134A4KX1,100-151,0-003
3137EAED7,99-311,0-00+
3137EAEB1,100-303,0-002
3137EAEC9,99-137,0-00+
3137EADB2,99-080,0-002
3134A3U46,100-192,0-003
3134A4KX1,100-303,0-003
3137EAED7,100-265,0-002
3137EAEB1,99-213,0-002
3137EAEC9,99-270,0-00+
3137EADB2,100-287,0-002
3134A3U46,99-180,0-003
3134A4KX1,100-290,0-003
3137EAED7,100-100,0-003
3137EAEB1,100-246,0-002
3137EAEC9,100-011,0-002
3137EADB2,100-080,0-00+
3134A3U46,99-031,0-003
3134A4KX1,100-30+,0-002
3137EAED7,99-25+,0-00+
3137EAEB1,99-171,0-002
3137EAEC9,99-185,0-002
3137EADB2,100-123,0-002
3134A3U46,100-250,0-002
3134A4KX1,99-313,0-00+
3137EAED7,100-266,0-003
3137EAEB1,99-275,0-002
3137EAEC9,100-126,0-003
3137EADB2,99-040,0-002
3134A3U46,100-165,0-00+
3134A4KX1,99-080,0-00+
3137EAED7,100-300,0-002
3137EAEB1,99-296,0-003
3137EAEC9,100-203,0-002
3137EADB2,100-000,0-00+
3134A3U46,100-19+,0-002
3134A4KX1,99-040,0-002
3137EAED7,99-035,0-002
3137EAEB1,99-226,0-002
3137EAEC9,99-081,0-00+
3137EADB2,100-051,0-003
3134A3U46,99-125,0-003
3134A4KX1,100-016,0-002
3137EAED7,99-023,0-002
3137EAEB1,100-155,0-003
3137EAEC9,100-017,0-003
3137EADB2,100-263,0-00+
3134A3U46,99-287,0-002
3134A4KX1,99-043,0-00+
3137EAED7,99-181,0-002
3137EAEB1,100-146,0-00+
3137EAEC9,99-035,0-003
3137EADB2,100-212,0-00+
3134A3U46,99-192,0-003
3134A4KX1,100-11+,0-00+
3137EAED7,100-000,0-00+
3137EAEB1,100-152,0-003
3137EAEC9,100-086,0-003
3137EADB2,99-145,0-002
3134A3U46,100-173,0-00+
3134A4KX1,99-195,0-002
3137EAED7,100-256,0-002
3137EAEB1,99-006,0-002
3137EAEC9,99-146,0-002
3137EADB2,99-27+,0-00+
3134A3U46,100-016,0-003
3134A4KX1,99-11+,0-002
3137EAED7,99-21+,0-002
3137EAEB1,100-090,0-003
3137EAEC9,99-156,0-003
3137EADB2,99-207,0-003
3134A3U46,100-013,0-003
3134A4KX1,99-273,0-00+
3137EAED7,100-22+,0-00+
3137EAEB1,100-302,0-003
3137EAEC9,100-021,0-00+
3137EADB2,100-01+,0-002
3134A3U46,99-143,0-00+
3134A4KX1,100-237,0-00+
3137EAED7,100-231,0-003
3137EAEB1,99-055,0-00+
3137EAEC9,100-230,0-003
3137EADB2,100-04+,0-002
3134A3U46,99-117,0-003
3134A4KX1,99-120,0-003
3137EAED7,100-033,0-003
3137EAEB1,100-057,0-003
3137EAEC9,99-307,0-00+
3137EADB2,99-136,0-00+
3134A3U46,99-152,0-00+
3134A4KX1,99-313,0-003
3137EAED7,99-221,0-00+
3137EAEB1,99-29+,0-003
3137EAEC9,99-037,0-003
3137EADB2,100-250,0-003
3134A3U46,100-192,0-00+
3134A4KX1,100-137,0-002
3137EAED7,100-135,0-002
3137EAEB1,99-126,0-003
3137EAEC9,99-160,0-00+
3137EADB2,99-23+,0-003
3134A3U46,100-213,0-003
3134A4KX1,99-075,0-002
3137EAED7,99-09+,0-002
3137EAEB1,99-22+,0-002
3137EAEC9,100-156,0-003
3137EADB2,99-116,0-003
3134A3U46,99-12+,0-00+
3134A4KX1,100-055,0-00+
3137EAED7,99-22+,0-002
3137EAEB1,99-253,0-003
3137EAEC9,100-295,0-00+
3137EADB2,99-185,0-00+
3134A3U46,100-126,0-00+
3134A4KX1,99-040,0-002
3137EAED7,99-28+,0-003
3137EAEB1,99-303,0-002
3137EAEC9,100-03+,0-00+
3137EADB2,100-012,0-003
3134A3U46,100-033,0-003
3134A4KX1,99-156,0-002
3137EAED7,99-190,0-002
3137EAEB1,99-01+,0-00+
3137EAEC9,100-02+,0-002
3137EADB2,99-225,0-003
3134A3U46,100-007,0-003
3134A4KX1,100-232,0-00+
3137EAED7,99-055,0-002
3137EAEB1,99-12+,0-002
3137EAEC9,99-00+,0-002
3137EADB2,100-176,0-003
3134A3U46,100-287,0-002
3134A4KX1,100-081,0-00+
3137EAED7,100-221,0-003
3137EAEB1,99-050,0-00+
3137EAEC9,100-301,0-002
3137EADB2,99-116,0-002
3134A3U46,99-257,0-00+
3134A4KX1,100-241,0-003
3137EAED7,100-056,0-002
3137EAEB1,100-29+,0-00+
3137EAEC9,99-110,0-002
3137EADB2,99-103,0-002
3134A3U46,99-306,0-00+
3134A4KX1,99-131,0-002
3137EAED7,100-011,0-002
3137EAEB1,99-136,0-002
3137EAEC9,100-111,0-003
3137EADB2,99-056,0-002
3134A3U46,99-312,0-00+
3134A4KX1,99-193,0-00+
3137EAED7,99-033,0-003
3137EAEB1,99-225,0-003
3137EAEC9,99-096,0-002
3137EADB2,99-007,0-003
3134A3U46,99-117,0-003
3134A4KX1,99-025,0-00+
3137EAED7,99-06+,0-003
3137EAEB1,100-30+,0-002
3137EAEC9,100-187,0-002
3137EADB2,99-127,0-002
3134A3U46,100-267,0-00+
3134A4KX1,100-22+,0-00+
3137EAED7,100-293,0-00+
3137EAEB1,99-226,0-002
3137EAEC9,100-010,0-002
3137EADB2,99-26+,0-002
3134A3U46,99-255,0-002
3134A4KX1,100-153,0-002
3137EAED7,100-277,0-003
3137EAEB1,99-062,0-002
3137EAEC9,99-146,0-00+
3137EADB2,99-057,0-00+
3134A3U46,99-130,0-00+
3134A4KX1,100-146,0-00+
3137EAED7,99-150,0-003
3137EAEB1,99-255,0-00+
3137EAEC9,100-310,0-003
3137EADB2,100-153,0-003
3134A3U46,99-20+,0-00+
3134A4KX1,99-312,0-002
3137EAED7,99-090,0-002
3137EAEB1,99-250,0-002
3137EAEC9,99-01+,0-003
3137EADB2,100-242,0-002
3134A3U46,100-145,0-003
3134A4KX1,100-050,0-003
3137EAED7,100-12+,0-00+
3137EAEB1,99-313,0-002
3137EAEC9,99-125,0-002
3137EADB2,100-031,0-00+
3134A3U46,100-285,0-00+
3134A4KX1,99-027,0-002
3137EAED7,100-007,0-003
3137EAEB1,99-17+,0-003
3137EAEC9,99-022,0-003
3137EADB2,100-002,0-003
3134A3U46,99-175,0-003
3134A4KX1,99-265,0-003
3137EAED7,99-07+,0-002
3137EAEB1,100-153,0-003
3137EAEC9,100-122,0-00+
3137EADB2,100-301,0-002
3134A3U46,99-08+,0-002
3134A4KX1,99-292,0-003
3137EAED7,100-283,0-002
3137EAEB1,99-005,0-00+
3137EAEC9,99-020,0-002
3137EADB2,100-040,0-00+
3134A3U46,100-152,0-002
3134A4KX1,100-313,0-003
3137EAED7,99-127,0-00+
3137EAEB1,100-175,0-003
3137EAEC9,99-005,0-00+
3137EADB2,100-191,0-00+
3134A3U46,100-02+,0-002
3134A4KX1,100-001,0-003
3137EAED7,99-147,0-002
3137EAEB1,100-08+,0-002
3137EAEC9,100-173,0-003
3137EADB2,99-20+,0-00+
3134A3U46,100-285,0-00+
3134A4KX1,100-273,0-00+
3137EAED7,99-221,0-002
3137EAEB1,99-146,0-002
3137EAEC9,99-10+,0-002
3137EADB2,99-076,0-003
3134A3U46,99-23+,0-003
3134A4KX1,100-107,0-003
3137EAED7,99-185,0-003
3137EAEB1,99-07+,0-00+
3137EAEC9,100-265,0-002
3137EADB2,100-012,0-00+
3134A3U46,100-145,0-002
3134A4KX1,99-07+,0-00+
3137EAED7,100-313,0-002
3137EAEB1,99-311,0-002
3137EAEC9,100-26+,0-00+
3137EADB2,99-067,0-003
3134A3U46,100-095,0-00+
3134A4KX1,99-242,0-002
3137EAED7,100-037,0-003
3137EAEB1,99-10+,0-003
3137EAEC9,100-165,0-00+
3137EADB2,100-196,0-002
3134A3U46,100-026,0-003
3134A4KX1,99-092,0-003
3137EAED7,100-243,0-003
3137EAEB1,99-156,0-00+
3137EAEC9,99-17+,0-003
3137EADB2,99-033,0-003
3134A3U46,99-121,0-002
3134A4KX1,100-185,0-003
3137EAED7,99-081,0-003
3137EAEB1,99-023,0-002
3137EAEC9,100-160,0-003
3137EADB2,100-17+,0-003
3134A3U46,99-017,0-00+
3134A4KX1,99-270,0-002
3137EAED7,99-006,0-002
3137EAEB1,99-182,0-002
3137EAEC9,99-045,0-002
3137EADB2,99-153,0-002
3134A3U46,100-153,0-003
3134A4KX1,100-307,0-003
3137EAED7,100-192,0-003
3137EAEB1,99-317,0-003
3137EAEC9,100-13+,0-003
3137EADB2,100-180,0-002
3134A3U46,100-20+,0-003
3134A4KX1,100-062,0-00+
3137EAED7,100-050,0-002
3137EAEB1,99-306,0-00+
3137EAEC9,100-113,0-002
3137EADB2,100-222,0-003
3134A3U46,100-251,0-002
3134A4KX1,100-280,0-003
3137EAED7,100-225,0-002
3137EAEB1,100-212,0-003
3137EAEC9,99-11+,0-002
3137EADB2,99-287,0-003
3134A3U46,100-021,0-00+
3134A4KX1,99-005,0-003
3137EAED7,99-190,0-00+
3137EAEB1,99-21+,0-003
3137EAEC9,100-290,0-002
3137EADB2,100-253,0-003
3134A3U46,100-150,0-003
3134A4KX1,100-161,0-002
3137EAED7,99-106,0-002
3137EAEB1,99-246,0-003
3137EAEC9,100-171,0-00+
3137EADB2,100-187,0-002
3134A3U46,99-013,0-003
3134A4KX1,100-085,0-00+
3137EAED7,100-026,0-003
3137EAEB1,99-056,0-003
3137EAEC9,100-226,0-003
3137EADB2,100-195,0-00+
3134A3U46,100-240,0-003
3134A4KX1,99-046,0-00+
3137EAED7,99-007,0-00+
3137EAEB1,100-11+,0-003
3137EAEC9,100-14+,0-003
3137EADB2,99-280,0-002
3134A3U46,100-111,0-003
3134A4KX1,99-066,0-003
3137EAED7,99-313,0-002
3137EAEB1,99-231,0-002
3137EAEC9,99-137,0-00+
3137EADB2,99-211,0-00+
3134A3U46,100-09+,0-00+
3134A4KX1,100-042,0-00+
3137EAED7,100-291,0-003
3137EAEB1,100-250,0-003
3137EAEC9,100-162,0-00+
3137EADB2,100-207,0-003
3134A3U46,99-30+,0-00+
3134A4KX1,100-300,0-003
3137EAED7,99-123,0-00+
3137EAEB1,100-171,0-002
3137EAEC9,100-100,0-003
3137EADB2,99-147,0-00+
3134A3U46,100-11+,0-003
3134A4KX1,99-27+,0-003
